,name,introduction,Area (Sq. km),Forest Area (acres),Total Housing Units,No. of Tehsils,No. of Union Councils,Population,Population Density per Sq. Km,Ratio Male per hundres females,Urban Population,Rural Population,Male,Female,Transgender,Labour force,Number of Printing Presses,Number of Television Sets,Operational Bank Branches,Sale of fertilizers (tonnes),Number of Animals,Number of Cattle,Value produced by manufacturing industries,Average daily persons engaged in industry (No),Employment cost,Wages & Salaries,Multi Dimensional Poverty Index,Road Kilometrage,Railway Route Kilometrage,Motor Vehicles Registered,Number of Exchanges,Telephone Connections,Public Call offices,Number of Post Offices,Govt. Health Institutions,Bed Strength,Number of Doctors,Registered Private Medical Practitioners,Number of patients treated,Percentage of children fully immunized Urban,Immunized rural,Percentage of households with tap water Urban,Rural,Percentage of households with toilet facility,Number of primary schools,Number of middle schools,Number of high schools,Number of higher secondary schools,Learning Score Percentage,Edu Inst Availability of Electricity,Edu Inst Availability of Water,Edu Inst Availability of Toilet,Private Health Institutions,Province
109,Lehri,"Lehri District was the 31st district in Balochistan, Pakistan. It was created in May 2013 from parts of the districts of Sibi and Kacchi. Mostly the people are from the Domki, Sial and Jamote tribes are living in same district. In January 2018, the Cabinet of Balochistan decided to remove Lehri district, which would be annexed into Sibi.",9830,,"18,651",2,10,"118,046",12,108.75,16608,101438,61495,56549,2,,,,,,,,,,,,,,,,1,51,,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,Balochistan
110,Loralai,"Loralai District lies between 67°41'18""-69°44'22""East longitudes and 29°54'50""-30°41'28"" North latitudes. Location of Loralai is at 560 km (aerial distance) south-west (230 degrees bearing) of Pakistan's Capital City Islamabad and 150 km West (83 degrees bearing) from Quetta city, provincial capital of Balochistan.

Loralai was granted the status of a separate district on October, 1903. Formerly, the district was known as Bori. The name originates from Lorala, which is a stream that flows in the south of Loralai town. The district headquarter is in “Loralai” town. Loralai is located in the North-east of Balochistan, sharing its boundaries clockwise from North with Killa Saifullah, Zhob, Musakhel, Barkhan, Kohlu, Sibi and Ziarat Districts. 

The terrain of the district consists of east-west aligned mountains, valleys and southern plains ranging in ground elevation from 908-3,136 meters above MSL (Mean Sea Level). Loralai has been famous for its agriculture/ horticulture and livestock holdings. Almonds and apricots are popular across the country. Communications network of Loralai city is well established with radio station broadcasting, telephone exchange, and mobile communication services.

Major Rabi crops include Wheat and Vegetables followed by Barley, Cumin, Chickpea (Gram), Peas (Mutter), Lentil (Masoor), and Fodder. Major Kharif Crops include Fruits, Maize, Sorghum, Garlic and Potatoes. Almond, Apple, Apricot, Grapes, Peach, Plum, Pomegranate and Cherry are the leading fruits of the district.

Coal, Marble and Fluorite are minerals produced in the district, whereas, occurrences of Glass sand, Talc are reported. Gypsum and Anhydrite is also found in large quantity. Coal is the major mineral of the district that is how Coal fields of Duki, identified in 1981 are very famous.

Chamalang Coal field bearing indicated 50 million tons of good quality which was discovered in 1960. Gypsum and Anhydrite also found in Chamalang. These deposits occur as beds, of which 13 beds are identified with a total thickness of 15 meters separated by Shale and Limestone.

Limestone and ordinary stone are produced in significant quantity. Glass sand deposits are also reported from Duki area, which is about 8 Km west of Duki Town. Several stone crushers are installed in the district by which Limestone is graded in various sizes that are used in the construction of buildings and roads.

In Loralai District, some marble units and one flour mill has been established. There are some small enterprises with very few number of workers employed, which are mostly males.

The district has no traditional trade centre. Trade is mostly conducted on retail basis and a very little on whole sale basis. The major exports of the district are fresh fruits, dry fruits, hides and skins and wool. All other items are brought in the district either from the provincial capital or from Punjab province.","9,830","149,224","55,876",4,36,"397,400",40.43,114.87,"64,938","332,462","212,451","184,948",1,,,,,,,131806,,,,,0.32,1326,,13198,4,1476,,7,2,0,92,,189779,100,100,40,3,51,672,54,28,,53.45,18.13,40.71,12.04,0,Balochistan
111,Mastung,"Mastung (a district in Kalat Division) lies between 66°11'34""-67°25'59"" East longitudes and 29°20'13""- 30°15'8"" North latitudes. Location of Mastung is at 735 km (aerial distance) south-west (235 degrees bearing) of Pakistan's Capital City Islamabad and 45 km (aerial distance) south-west (200 degrees bearing) from Quetta City, the provincial capital of Balochistan.

Mastung used to be a sub-division of Kalat district. Due to administrative reasons, it was separated from Kalat in July 1991 and was given the status of a district. From 18 February 1992 Mastung has functioned as a separate district. The district derives its name from the locality of Mastung. According to locals “Mastung” is made up of two words Mas and Tung. In Brahvi language Mas means mountain and Tung means hole. Mastung is situated at the bottom of Lack pass. When someone crosses the Lack Pass from Quetta, before entering into Mastung city, he feels that he is passing through a hole.

Rabi crops include; Wheat, Barley, Cumin, Vegetables, Fodder and Sunflower. Kharif crops include; Mung bean, Fruits, Onion, Potato, vegetables, Melons, Chilies, Fodder, Coriander and Garlic. Almond, Apple, Apricot, Grapes, Peach, Plum, Pear, Pomegranate, Cherry and Pistachio are the leading fruits of District Mastung.

In District Mastung, the iron ore and fluorite deposits occur in Dilband area. The oldest formation in the area is the Chiltan Limestone, in which fluorite is deposited in the shape of small veins, irregular pods, pockets and along beds. Iron stone bed, in the district, has long been known as Bauxite deposit. Geological Survey of Pakistan's research work has proven the resources of Iron Ore of economic significance. On average, the iron stone bed is about 2 meters thick and fairly exposed. Main constituent of the ore is hematite, while quartz, calcite and chlorite occur as gangue minerals. On the basis of limited research and exploration work carried out by the Geological Survey of Pakistan, the ore reserves are tentatively estimated in excess of 200 million tones.","5,896","54,720","38,801",4,20,266461,45.19,107.37,"35,129","231,332",137963,"128,498",0,,,,,,,8628,,,,,0.302,1440,,27,2,389,,6,2,0,70,,180003,100,100,100,16,98,305,50,32,,54.88,9.15,35.29,39.54,0,Balochistan
112,Musa Khail,"Musakhail district lies between 69°27'38""-70°16'26"" East longitudes and 30°17'28""-31°28'53"" North latitudes. Location of Musakhail is at 435 km (aerial distance) south-west (225 degrees bearing) of Pakistan's Capital City Islamabad and 275 km east (74 degrees bearing) from Quetta City, the provincial capital of Balochistan. 

Musakhail was separated from Loralai after having been granted district status on 1 January, 1992.The district headquarter is in “Musakhail Bazar”. The district is located in the east of the Quetta City, the provincial capital of Balochistan, sharing its boundaries in the east with Punjab and Khyber Pakhtonkhawa provinces. Loralai and Barkhan Districts are on the south and Zhob in the west.Musakhail comprises of thick forest areas, hills and plains, high Mountains and huge grass lands with varying ground elevation between 393 - 3,013 meters above Mean Sea Level.

Rabi crops include Wheat, Barley, Rapeseed /Mustard, Vegetables and Fodder. Kharif crops include Sorghum (Jowar), millet (Bajra), Maize, Mung bean, Mash bean, Fruits, Onion, Potato, Vegetables, Melons, Chilies and Fodder.

The exposed sedimentary sequence comprises of shale, sandstone, limestone, marl and conglomerate. The occurrence of carbonaceous matter has an economic significance as a source for coal and hydrocarbon generation in this area. Petroleum prospecting was carried out by Oil and Gas Development Company in Musakhail: different feasible structure for oil resources has been reported. Coal concessions are granted to the private sector but tribal disputes and poor roads are the main constraints in the development of mining. Three different seams ranging from one foot to two and half foot in thickness of good quality have been reported.","5,728","10,311",24826,3,17,167017,29.16,117.54,14138,152879,90240,76777,0,,,,,,,197318,,,,,0.351,490,,,3,206,,3,1,0,16,,61347,91,100,48,6,72,272,20,19,,55.48,7.72,49.26,25,0,Balochistan
113,Nasirabad,"Nasirabad district lies between 67°44'33""- 68°26'54"" East longitudes and 28°12'13""-29°02'58"" North latitudes. Location of Nasirabad is at 735 km (aerial distance) south-west (220 degrees bearing) of Pakistan's Capital City Islamabad and 215 km south (148 degrees bearing) from Quetta City, the provincial capital of Balochistan.

Nasirabad was notified as separate district in 1974. The name originates after the great Baloch leader Nasir Khan Noori, who was the founder of the Baloch Union and ruled the Kalat Khanate from 1747-1794. From 1987 to 1990, the district was called by the name of Tamboo. Tamboo is also the name of a village 40 km west of Dera Murad Jamali. The district headquarter is in “Dera Murad Jamali” town. The district is located in the middle of Balochistan, sharing its boundaries in the east with Dera Bugti and in the west with Jhall Magsi. Jaffarabad District is in the south and Bolan is in the north. Former Prime Minister of Pakistan Zafarullah Khan Jamali belongs to this district. The district is famous for its high yield of wheat.

Rabi crops include; Wheat, Barley, Rapeseed/Mustard, Gram, Mutter Pulse, Lentil (Masoor), Vegetables, Fodder, Canola and Sunflower. Kharif crops include; Rice, Sorghum (Jowar), Millet (Bajra), Sesame, Mung bean, fruits, Onion, Potato, Vegetables, Melons, Fodder, Coriander, Guar Seed, Sugarcane and Cotton. Dates, citrus, mangoes, guava, and chickoo are the leading fruits of the district Nasirabad.

In Nasirabad, handicrafts such as embroidery, needlework, mat and sheet designing is common. Women and girls do the embroidery work at home to pass their leisure time and to assist their families by creating some additional income, at times.","3,387",-,66681,4,31,490538,144.83,106.41,"96,591","393,947","252,878","237,651",9,,,,,,,165765,,,,,0.413,1201,,530,3,905,,2,1,0,40,,184240,100,100,87,0,98,447,37,26,,50.35,38.01,83.37,11.66,0,Balochistan
114,Noshki,"Nushki District lies between 65°07'42""- 66°18'45"" East longitudes and 29°01'51""-29°52'37""North latitudes. Location of Nushki is at 810 km (aerial distance) south-west (237 degrees bearing) of Pakistan's Capital City Islamabad and 120 km south-west (233 degrees bearing) from Quetta City, the provincial capital of Balochistan.

The district is located in the north of Balochistan, sharing its boundaries in the east with Quetta and Chaghai District in the west. Kharan and Kalat Districts are on the south and Afghanistan in the north. The district headquarter is in “Nushki” town; it lies in south-west of Quetta, and is situated on a plain at the base of Quetta Plateau, 2,900 feet above Mean Sea Level.

District Nushki is situated 144 Kilometer south- west of Quetta on the main RCD, highway. The mining concessions are granted for Chromite while some deposits of graphite are reported in the shape of stringers but grade and size of the ore is not known. The deposits of Sheikh Wasal are located 3 Km north-west of the Sheikh Wasal, which is 72 km south-west of Quetta on Quetta Noshki road and railway line. The deposits occur at the crest of the Mashelakh Range. A working was developed about 55 meters in length in south –east direction.","5,797",-,22662,1,8,"178,796",30.84,107.02,"46,386",132410,"92,430","86,366",0,,,,,,,6576,,,,,0.316,2163,,,3,831,,3,1,12,33,,53223,100,95,100,30,91,169,43,33,,56.2,18.93,43.79,43.79,1,Balochistan
115,Panjgur,"Panjgur District lies between 63°04'50""-65°20'11"" East longitudes and 26°08'54""-27°17'55"" North latitudes. Location of Panjgur is at 1,140 km (aerial distance) south-west (231 degrees bearing) of Pakistan's Capital City Islamabad and 460 km south-west (220 degrees bearing) from Quetta City, the provincial capital of Balochistan.

Panjgur was notified as separate district status on 1 July, 1977. Panjgur is also the name of an important town in the district. The district headquarter is in “Chitken” town. The district is located in the south-west of Balochistan, sharing its boundaries in the west with Iran. Awaran and Kech Districts are on the south and Washuk District is in the north. The district’s terrain is mountainous with the ground elevation between 465-1,776 meters above Mean Sea Level.

Rabi crops include; Wheat, Barley, Cumin, Mutter Pulse, Lentil (Masoor), Vegetables and Fodder. Kharif crops include; Sorghum (Jowar), Millet (Bajra), Maize, Mung bean, Moth, Fruit, Onion, Vegetables, Melons, Chilies, Fodder, Coriander, Garlic and Cotton. Almond, Apple, Grapes, Peach, Plum, Pomegranate, Dates, Mangoes and Fig are the leading fruits of District Panjgur.

The district area is mainly covered with sand stone, limestone, shale and clay material. Antimony (in the area of Korkian, Padkash and Sabzab) and gold bearing quartz veins occurs at different localities. The potential of the these localities are of less economic significance owing to which the district area is poor in economic mineral while huge reserves of gravel, sand and clay which can be utilized for construction purposes. Sulphur and salt are other minerals found.","16,891",-,"42,628",4,27,316385,18.73,111.41,"80,324","236,061","166,731","149,654",0,,,,,,,22508,,,,,,1886,,390,4,1196,,5,1,8,59,,160573,0,0,0,0,0,315,49,37,,57.25,16.25,60.31,19.06,1,Balochistan
116,Pishin,"Pishin District lies between 66°46'01”-67°49'19” East longitudes and 30°44'02”-31°14'02” North latitudes. Location of Pishin is at 670 km (aerial distance) south-west (240 degrees bearing) of Pakistan's Capital City Islamabad.

Pishin was separated from Quetta after granting district status on 18 January, 1975. According to the local verbal accounts, its name originates from a son of the Emperor Afrasiab and Fushing was the spelling used in the records of the Afghan government. Pishin is a modernized form of 'Pushang', which is an Old Persian version of the Arabic name 'Fushang'. Pishin is also the name of an important town in the district. The district is located in the north of the Quetta City, the provincial capital of Balochistan, sharing its boundaries in the north-east with Afghanistan and Killa Saifullah in the east. Killa Abdullah on the west and Quetta District is in the south. The district is comprised of a series of valleys with ground elevation ranging from 1,370–1,680meters above Mean Sea Level, which are enclosed by Toba Kakar Range to the north. Lora River and its tributaries serve as major source meandering through Pishin.

Rabi crops include Wheat, Barley, Cumin, Vegetables and Fodder. Kharif Crops include fruits, Melons, Vegetables, Tobacco, Potato, Fodder and onion. Pishin is unique in the sense, that, it is also the major Tobacco producing district of Balochistan, although Tobacco economically not very important as compared to fruit production. Apples and Grapes are the leading fruits of the district.

District Pishin has substantial potential for mining of Chromite. Although, the Chromites is of high to low grade attribute. The out crop of ultramafic rocks in the area is connected with the main out crops of Muslim Bagh by inter mitten exposures. These ultramafic rocks are spreading over19 Square Kilometer long while 1/2 square kilometer wide area. Serpentinized dunite is the predominate rocks. The ultramafic rocks have extensively been intruded by dolerite dykes and basalt. Chromite has been classified in to three general grades i.e metallurgical, chemical and refractory. The deposits are pod form and small in size. There is occurrence of Dolomite, Soap Stone and Lateriate but exploitation on commercial scale has not been reported. The mineralization of very little Chromite, Quartz vein, Granite, Copper, Mica, Iron ore, Coal and minor minerals like Gravel, Sand and Clay etc, Chromite occurrence is wide spread in Khanozai area of Pishin District.

In Pishin, large manufacturing unit includes the only flour mill functional in the district. The small enterprises include Tobacco, R.C.C, ice, dairy farms and poultry farms which employ remarkable number of workers. Dairy farming and poultry farming is frequent in the area.

Since Pishin lies adjacent to Afghanistan, therefore smuggling takes place. Especially wheat, sugar and edible oil are smuggled into Afghanistan, while spices, dry fruit, skin, wool and a number of merchandised items of foreign origin are smuggled into Pishin. Due to smuggling trends people have lost interest in the industrial development of the district. In Pishin District, traditional handicrafts like embroidery work on dresses (kameez and shalwar) of children and women, on caps, on bed and pillow covers, etc. are very common. Women and girls do the embroidery work at home. It also includes making sweaters from sheep's wool.","7,819","180,471",128080,5,38,736481,94.2,106.09,"143,142","593,339","379,122","357,356",3,,,,,,,91433,224921,40,2556,2075,0.453,1940,,6930,7,1307,,8,2,10,106,,201797,100,100,91,64,93,836,106,56,,55.18,12.41,44.99,19.93,2,Balochistan
117,Quetta,"Quetta District lies between 66°41'40""-67°17'25"" East longitudes and 30°01'29""-30°28'25"" North latitudes. Location of Quetta is at 690 km (aerial distance) south-west (237 degrees bearing) of Pakistan's capital city, Islamabad.

Quetta was granted the status of district in 1975. The name originates from Pushto word Kawatta, which means a fort. Formerly, the town was situated within the walls of fort “A Miri”, which is now used as an arsenal. Quetta is the provincial capital of Balochistan, sharing its boundaries in the east with Ziarat and in the west with Killa Abdullah. Pishin is in the north
and Mastung District lies in the south.

Locally, Quetta is also known by its ancient name of Shal or Shalkot based on its location at the north end of the Shal Valley about 1,690 meters above sea level. Although a small city, Quetta has over the years acquired the typical hustle and bustle of a provincial metropolis. The city and cantonment continue to modernize at an equally fast pace. Quetta is attractive to tourists for its thrilling location, full of adventure and enjoyment. Some prominent bazaars of Quetta are located on the roads Shahrah-e-Iqbal (the Kandahari bazaar) Shahrah-e-Liaquat (the Liaquat and Suraj Gang Bazaar, and Alamdar Road (little Tokyo).

Rabi crops include Wheat, Barley, Cumin, Vegetables and Fodder.

Kharif Crops include Melons, Fruits, Vegetables, Potato, Fodder and Onion.

In the provincial capital, mining concessions are granted for Coal, which is the major mineral. Limestone, Ordinary stone, Marble, Fluorite, Clay are other minerals; whereas, occurrences of Glass Sand, Dolomite, Silica (sand) are also reported. Sor range-Degari-Sinjidi-Pir Ismail Ziarat/Marwar Coal fields are well known in District Quetta. These coal deposits were identified in 1891 with 61 million ton of reserves. Coal is found at 28 Km east and south-east from Quetta. It is sub-bituminous in quality and contains low proportions and sculpture contents. Quetta is the nearest railway station for the Sor range, Spez and, Degari & Pir Ismail Ziarat coal fields, which have depth of 1,100 meters.

Pir Ismail Ziarat is 60 Km east of Quetta and covered over 20 square kilometers having two seams- upper and lower seams, while their thickness ranges between 0.6-0.7 meters and 0.4-0.45 meters respectively; while, their depth ranges between 200-1,000 meters. These fields are the major coal producing area of the country where besides Coal, Limestone, Fluorite and Ordinary stone is produced in significant quantity. Fluorite mineralization in Quetta District occurs in Chiltan Limestone of Jurassic age. Fluorite occurs in veins in fracture zones. Several hundred meters thick Limestone at places Dolomite occurs in Chiltan formation of Jurassic age in Quetta (Brewery Gorge)

There are two Industrial Estates in Quetta. The first one is located at Sirki road, it is considered as Mini Industrial Estate. The other is located at Sariab By-Pass, 13 Km away from Quetta, which was established in 1986-87. All the utility requirements are available.

Quetta is a trade route leading to Afghanistan and Iran therefore; it is a transit route between these countries. Trade takes place legally as well as illegally (smuggling). From Afghanistan, fresh as well as dry fruit, timber, cotton, sheep and goat skins are imported into Pakistan. Similarly from Iran, petrol, blankets, plastic goods, carpets, dried fruit, hosiery goods, and fresh fruit e.g. cherries and tinned fruits come into the country. Veterinary medicines and medicines for human consumption are smuggled into Quetta. The magnitude of import can be gauged from the number of trucks coming into Pakistan. It should be remembered that transit trade to India also takes place via Quetta. 

A greater proportion of trading activities is not possible to be documented due to the illegal nature of the trade. Normally food items particularly wheat, ugar and edible oil are smuggled to Afghanistan, while a number of products of Afghan origin and merchandised items of foreign origin are smuggled into Quetta District via Chaman. Adverse economic effects of these activities result in shortage of wheat and edible oil etc. in Quetta and adjoining districts. Foreign goods are available at cheaper rates, discouraging industrial development. The retail trade has flourished over the years, due to smuggling.",2653,85547,276711,3,67,2275699,650.01,110.37,1001205,1274494,1193913,1081755,31,,,,,,,11244,16675507,2160,235057,224643,0.213,1958,,328713,12,43225,,48,8,2265,957,,301811,92,100,71,69,98,445,96,96,,50.98,20.04,29.4,37.19,56,Balochistan
118,Sherani,"Sherani District lies between 69°31'53""- 70°02'55"" East longitudes and 31°16'44""- 32°04'15"" North latitudes. Location of Sherani is at 365 km (aerial distance) south-west (237 degrees bearing) of Pakistan's Capital City Islamabad and 325 km north-east (53 degrees bearing) from Quetta City, provincial capital of Balochistan.

Sherani was separated from Zhob after granting district status in 2006. The name originates from dominant tribe of the area, Sherani. Shin Bazai is an important town in the district. The district headquarter is in “Stano Raaghah” town. The district is located in the north-east of the Quetta City, the provincial capital of Balochistan, sharing its boundaries in the east with South Waziristan. Zhob District is on the west and Musakhail is in the south. The terrain of the district comprises of high mountains full of precious trees such as ""Chalghoza"" (a dry fruit); also a source of income for the area. The main source of subsistence is agriculture. Majority of the population has migrated to United Arab Emirates for earnings rationale.

The district geography is typical of a mountain eco-system where the livelihood of inhabitants/communities mainly depends upon livestock and rain fed agriculture. The natural Dry Temperate Forests of Chilghoza Pine and Sub Tropical Broadleaved Evergreen Scrub forests of Olive and Phulai, which occupy large areas in the district, play pivotal role in this regard. These forests act as grazing grounds by providing forage to a large number of livestock and also serves as water harvesting areas for supporting the rain fed agriculture. Further, local community members also depend upon these forests for fulfilling their requirements of fuel wood and small timber. In addition to the grazing and fuel wood, local community members also make use of some of the Non Timber Forest Products (NTFPs) for household consumption and sometimes also for sale in the local market. However, the most important role that these forests are playing in the economy of the district is by serving as major watersheds for the low altitude areas.",2800,,21213,1,13,153116,,124.78,0,153116,"84,994","68,115",7,,,,,,,178658,,,,,0.526,1505,,,0,0,,1,0,0,12,,38658,0,55,0,15,61,176,12,6,,69.8,6.82,21.59,17.61,0,Balochistan
119,Sibi,"Sibi District lies between 67°21'3""-68°34'38"", East longitudes and 28°46'40""-30°07'34"" North latitudes. Location of Sibi is at 675 km (aerial distance) south-west (228 degrees bearing) of Pakistan's Capital City Islamabad and 110 km south-east (131 degrees bearing) from Quetta City, the provincial capital of Balochistan.

Sibi was granted the status of separate district in 1903. Formerly, it is believed to be known as 'Siwi' in ancient times. The local tradition attributes the origin of the name of siwi to a Hindu lady of Sewa Dynasty, who ruled this part of the area in ancient times. The district headquarter is in “Sibi” town. The district is located in the south-east of the Quetta City, the provincial capital of Balochistan, sharing its boundaries with Ziarat, Kohlu, Dera Bugti, Nasirabad, Jhal Magsi, Kachhi and Quetta Districts. 

Sibi Railway Station is junction railway station. The railway track was lined in 1890s during the British era to link Sibi with the rest of the country. The routes from Sibi are linked with Lahore, Karachi, Peshawar, Rawalpindi, Quetta, Multan, Faisalabad, Hyderabad, Rohri, Sukkur, Bahawalpur, Dera Ghazi Khan, Kot Adu, Gujrat, Jacobabad, Gujranwala, Khanewal, Nawabshah, Attock, Jhelum, and Nowshera. Sibi has a developed infrastructure of roads; it is well connected by road to the rest of the country. These roads connect Sibi with Quetta, Karachi, Jacobabad, Sukkur and Hyderabad route. The terrain of Sibi District is mountainous and Zarghoon Range marks the demarcation between Quetta and Sibi Districts.

Rabi crops include; Wheat, Barley, Rapeseed/Mustard, Gram, Lentil (Masoor), Vegetables, Fodder and Sunflower 

Kharif crops include; Rice, Sorghum (Jowar), Maize, Sesame, Mung bean, Moth, fruits, Onion, Potato, Vegetables, Melons, Chilies, Fodder, Coriander, Garlic, Guar seed, Sugarcane and Cotton.

Apple, Apricot, Grapes, Peach, Plum, Pomegranate, Dates, Citrus, Mangoes, Guava and Loquat are the leading fruit of District Sibi.

In Sibi District Marble, Gypsum, Limestone and occurrence of Sulphur and Talc is reported, but not explored commercially, while Spintingi Gypsum deposit occurs on the northern slopes of Mian Zard Ridge. Sibi and Harnai is famous for Khost-Shahrag-Harnai Coal fields located above 165 km south-east of Quetta where Coal is found at 150-200 Km south-east of Quetta, in narrow monocline and syncline structures. Total reserves are estimated 76 million tones with cooking properties. Mines are semi mechanized having depth of more than 600 meters at different places. All the production is transported to the domestic market by train and road, its consumers are brick kiln industry in the province of Punjab.

The Directorate of Small Industries has a Carpet and Tailoring Centre in Sibi District. The centre was established in 1978. It provides training in carpet weaving to the trainees. Similarly, the tailoring centre teaches students the art of tailoring. Trainees are given stipend for the training.

In Sibi District, handicrafts include embroidery work on women's dresses. It is a common practice of women and girls at home and they do this for living. The district is very well known for this intricate art.","7,796","869,452",20228,3,5,"135,572",17.39,112.1,64427,71145,"71,652","63,918",2,,,,,,,54709,,,,,0.324,977,,6727,4,1554,,4,1,16,58,,160758,81,97,91,46,81,215,29,30,,47.26,26.85,43.52,43.06,1,Balochistan
120,Washuk,"Washuk District lies between 62°48'28” – 65°58'35” East Longitudes and 26°04'25.5” – 28°39'57.5” North Longitudes. Location of Washuk is at 1,020 km (aerial distance) south-west (234 degrees bearing) of Pakistan's Capital City, Islamabad and 300 km south-west (221 degrees bearing) from Quetta City, the provincial capital of Balochistan.

Washuk was notified as separate district status in 2005.Formerly, it was a Tehsil of District Kharan. The district is located in the south west of Balochistan, sharing its boundaries in the south-west with Panjgur and Khuzdar in the east. District Chaghai is in the north and Iran is in the west of the district. Similar to Kharan, Washuk is comprised of sand dunes and ridges of hills and mountains. The ridges sweep in south-west to north-east and which are separated by lower valleys.

In Washuk, Quartz veins are associated with Antimony, Gold, Lead and Zinc, which occur discontinuously at Laddi and Miami located at 7 km to the east and 30 km to the south-west of the town. The veins occupy the fractures and shear zone and have produced a reddish brown coloration zone on either side apart from antimony; Quartz of bluish color can also be used as Semiprecious Gemstone. Some parts of the district are covered by ultra-basic igneous rocks containing Chromite, Manganese and Copper.","29,510",,31540,5,10,"176,206",5.97,109.33,"21,782","154,334",92031,84175,0,,,,,,,14854,,,,,0.466,2395,,,1,51,,4,1,0,13,,118186,0,100,0,3,88,156,20,19,,52.78,0.63,54.72,2.52,0,Balochistan
121,Zhob,"Zhob District lies between 67°48'41""- 69°44'43"" East longitudes and 30°26'54""-31°57'8"" North latitudes. Location of Zhob is at 430 km (aerial distance) south-west (223 degrees bearing) of Pakistan's Capital City Islamabad and 260 km north-east (61 degrees bearing) from Quetta City, provincial capital of Balochistan.

Zhob was notified as separate district on February 1890. The name originates from Pushto word which means oozing water. Zhob is also the name of an important river in the district. The district headquarter is in “Zhob” town. The district is located in the north-east of the Quetta City, the provincial capital of Balochistan, sharing its boundaries in the east with Musakhail, and Killa Saifullah and sherani in the west. Afghanistan is on the north and Loralai District is in the south. 

The terrain of the district consists of mountains and valleys ranging in ground elevation from 930-2,658 meters above MSL (Mean Sea Level). The Zhob River, flowing through the district, has a total length of approximately 410 km. It is the only river in the area that flows in the north-eastern direction. Its source is Kan Metarzai Range and flows into the Gomal River near Khajuri Kach. The district has an important geo-strategic location. It links Afghanistan, South Waziristan Agency, Dera Ismail Khan, Killa Saifullah, Loralai, and Musakhail.

Rabi cropsinclude; Wheat, Barley, Rapeseed /Mustard, Vegetables and Fodder. These crops are sown in the winter or during the early summer and harvested in the late summer.

Kharif crops include; Sorghum (Jowar), Maize, Mung bean, Mash bean, Fruits, Onion, Potato, Vegetables, Melons, Chilies, Fodder, Garlic and Tobacco.

Apples, Almonds, Apricots, Grapes, Peach, Plum, Pea and pomegranates are the leading fruits of District Zhob.

District Zhob is granted mineral concessions for Coal, Chromite and Granite, whereas, occurrences of Copper, Calcite, Feldspar, Fluorite, Glass sand, Limestone, Ocher, Phosphate Rocks, Soapstone, Laterite and Manganese are reported.

A wide variety of goods are smuggled from Afghanistan through Qamar din Karez and other shingle routes. In Zhob District, handicrafts include traditional women's embroidery work. Women and girls do this embroidery work at homes. Sometimes women sell their work to assist their families by creating some additional income.","20,297","54,230",45962,5,24,310544,15.3,118.41,46248,264296,168358,142186,0,,,,,,,178658,,,,,0.514,1505,,4886,1,1036,,8,1,10,56,,103661,100,95,99,8,72,301,34,25,,58.98,18.09,48.03,11.84,1,Balochistan
